# experiment: ht1_3-20_0.3_0.6_1  M=4  mode=mix  (MILP / Gurobi)
# config: sym_break=1 threads=0 ; TL=3600s traceint=10s
# date: 2026-06-30T14:17:50  wall=1963.6s
# model: 1960 vars, 3639 constrs
# columns of TRACE lines: t(s) ub lb gap(%) nodes
#======================================================================

TRACE t=0.1 ub=621.78 lb=0 gap=100.00 nodes=0
TRACE t=10.5 ub=26.1666 lb=19.9938 gap=23.59 nodes=2928
TRACE t=21.0 ub=26.1666 lb=19.9938 gap=23.59 nodes=7098
TRACE t=31.8 ub=26.1666 lb=19.9938 gap=23.59 nodes=12110
TRACE t=43.3 ub=26.1666 lb=19.9938 gap=23.59 nodes=16813
TRACE t=56.3 ub=26.1666 lb=19.9938 gap=23.59 nodes=25402
TRACE t=66.5 ub=26.1666 lb=19.9938 gap=23.59 nodes=31406
TRACE t=77.2 ub=26.1666 lb=19.9938 gap=23.59 nodes=38813
TRACE t=89.2 ub=26.1666 lb=19.9938 gap=23.59 nodes=45988
TRACE t=100.6 ub=26.1666 lb=19.9938 gap=23.59 nodes=50121
TRACE t=111.4 ub=26.1666 lb=19.9938 gap=23.59 nodes=52052
TRACE t=123.9 ub=26.1666 lb=19.9938 gap=23.59 nodes=54987
TRACE t=134.8 ub=26.1666 lb=19.9938 gap=23.59 nodes=62779
TRACE t=145.6 ub=26.1666 lb=19.9938 gap=23.59 nodes=70353
TRACE t=163.1 ub=26.1666 lb=19.9938 gap=23.59 nodes=71831
TRACE t=173.1 ub=26.1666 lb=19.9938 gap=23.59 nodes=72002
TRACE t=183.6 ub=26.1666 lb=19.9938 gap=23.59 nodes=72900
TRACE t=196.0 ub=26.1666 lb=19.9938 gap=23.59 nodes=75580
TRACE t=206.8 ub=26.1666 lb=19.9938 gap=23.59 nodes=77860
TRACE t=217.2 ub=26.1666 lb=19.9938 gap=23.59 nodes=81432
TRACE t=230.2 ub=26.1666 lb=19.9938 gap=23.59 nodes=84586
TRACE t=240.8 ub=26.1666 lb=19.9938 gap=23.59 nodes=87457
TRACE t=252.9 ub=26.1666 lb=19.9938 gap=23.59 nodes=93116
TRACE t=265.5 ub=26.1666 lb=19.9938 gap=23.59 nodes=95545
TRACE t=279.8 ub=26.1666 lb=19.9938 gap=23.59 nodes=97435
TRACE t=292.7 ub=26.1666 lb=19.9938 gap=23.59 nodes=103081
TRACE t=304.9 ub=26.1666 lb=19.9938 gap=23.59 nodes=108883
TRACE t=318.7 ub=26.1666 lb=19.9938 gap=23.59 nodes=112163
TRACE t=328.9 ub=26.1666 lb=19.9938 gap=23.59 nodes=113418
TRACE t=339.1 ub=26.1666 lb=19.9938 gap=23.59 nodes=117706
TRACE t=349.5 ub=26.1666 lb=19.9938 gap=23.59 nodes=117964
TRACE t=362.0 ub=26.1666 lb=19.9938 gap=23.59 nodes=119107
TRACE t=376.7 ub=26.1666 lb=19.9938 gap=23.59 nodes=121747
TRACE t=388.6 ub=26.1666 lb=19.9938 gap=23.59 nodes=123098
TRACE t=400.2 ub=26.1666 lb=19.9938 gap=23.59 nodes=125043
TRACE t=411.1 ub=26.1666 lb=19.9938 gap=23.59 nodes=127809
TRACE t=421.9 ub=26.1666 lb=19.9938 gap=23.59 nodes=130622
TRACE t=432.0 ub=26.1666 lb=19.9938 gap=23.59 nodes=131719
TRACE t=447.0 ub=26.1666 lb=19.9938 gap=23.59 nodes=135331
TRACE t=460.3 ub=26.1666 lb=19.9938 gap=23.59 nodes=139783
TRACE t=470.6 ub=26.1666 lb=19.9938 gap=23.59 nodes=146036
