cfg_id,SCORE,CAND,MOVE,HMARGIN,instance,n,M,obj,proven,gap_pct,time_s,nodes,status
0,spread,4,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0165624,275,OPT
1,spread,4,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158963,275,OPT
2,spread,4,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159169,275,OPT
3,spread,4,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0162315,275,OPT
4,spread,4,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0156568,275,OPT
5,spread,4,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0157473,275,OPT
6,spread,4,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0162092,275,OPT
7,spread,4,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158503,275,OPT
8,spread,4,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159853,275,OPT
9,spread,8,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0165932,287,OPT
10,spread,8,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160144,287,OPT
11,spread,8,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161791,287,OPT
12,spread,8,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016819,287,OPT
13,spread,8,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158201,287,OPT
14,spread,8,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160975,287,OPT
15,spread,8,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0165317,287,OPT
16,spread,8,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159846,287,OPT
17,spread,8,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161603,287,OPT
18,spread,16,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.01658,287,OPT
19,spread,16,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016229,287,OPT
20,spread,16,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161984,287,OPT
21,spread,16,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0170461,287,OPT
22,spread,16,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159316,287,OPT
