cfg_id,SCORE,CAND,MOVE,HMARGIN,instance,n,M,obj,proven,gap_pct,time_s,nodes,status
0,spread,4,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016935,275,OPT
1,spread,4,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164099,275,OPT
2,spread,4,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160854,275,OPT
3,spread,4,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167005,275,OPT
4,spread,4,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160089,275,OPT
5,spread,4,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159286,275,OPT
6,spread,4,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163392,275,OPT
7,spread,4,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158433,275,OPT
8,spread,4,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161928,275,OPT
9,spread,8,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.017525,287,OPT
10,spread,8,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161978,287,OPT
11,spread,8,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163156,287,OPT
12,spread,8,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167113,287,OPT
13,spread,8,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0165148,287,OPT
14,spread,8,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164664,287,OPT
15,spread,8,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0173957,287,OPT
16,spread,8,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158747,287,OPT
17,spread,8,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159444,287,OPT
18,spread,16,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167483,287,OPT
19,spread,16,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160607,287,OPT
20,spread,16,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0165986,287,OPT
21,spread,16,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0173107,287,OPT
22,spread,16,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016452,287,OPT
23,spread,16,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161146,287,OPT
24,spread,16,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167428,287,OPT
25,spread,16,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159598,287,OPT
26,spread,16,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.015688,287,OPT
27,min,4,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167306,285,OPT
28,min,4,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0162973,285,OPT
29,min,4,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163171,285,OPT
30,min,4,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016685,285,OPT
31,min,4,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161628,285,OPT
32,min,4,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0157967,285,OPT
33,min,4,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164472,285,OPT
34,min,4,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.015976,285,OPT
35,min,4,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0162523,285,OPT
36,min,8,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0168067,283,OPT
37,min,8,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0166457,283,OPT
38,min,8,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0162312,283,OPT
39,min,8,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163635,283,OPT
40,min,8,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161041,283,OPT
41,min,8,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163982,283,OPT
42,min,8,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0173429,283,OPT
43,min,8,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161367,283,OPT
44,min,8,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164247,283,OPT
45,min,16,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167424,283,OPT
46,min,16,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.015986,283,OPT
47,min,16,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163966,283,OPT
48,min,16,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0165226,283,OPT
