instance,n,M,mode,status,obj,bound,gap_pct,time_s,nodes,nvars,nconstr
5part,5,2,pbatch,OPTIMAL,19.1778,19.1778,0.00,0.01,1,110,159
5part,5,2,mix,OPTIMAL,19.1778,19.1778,0.00,0.01,1,100,159
10part,10,2,pbatch,OPTIMAL,23.0271,23.0271,0.00,0.16,1,320,519
10part,10,2,mix,OPTIMAL,45.6258,45.6258,0.00,4.45,62430,300,519
11part,11,2,pbatch,OPTIMAL,18.8666,18.8666,0.00,0.08,1,374,615
11part,11,2,mix,OPTIMAL,39.8947,39.8947,0.00,2.68,32517,352,615
12part,12,2,pbatch,OPTIMAL,25.0962,25.0962,0.00,0.19,742,432,719
12part,12,2,mix,OPTIMAL,51.5220,51.5220,0.00,6.68,70481,408,719
13part,13,2,pbatch,OPTIMAL,25.0962,25.0962,0.00,0.34,1,494,831
13part,13,2,mix,OPTIMAL,59.4675,59.4675,0.00,41.78,346500,468,831
14part,14,2,pbatch,OPTIMAL,14.9074,14.9074,0.00,0.05,1,560,951
14part,14,2,mix,TIME_LIMIT,37.5674,27.9531,25.59,60.02,333206,532,951
