instance,n,M,mode,status,obj,bound,gap_pct,time_s,nodes,nvars,nconstr
ht1_1-10_0.3_0.3_1,10,2,pbatch,OPTIMAL,24.2246,24.2246,0.00,0.10,23,320,519
ht1_1-10_0.3_0.3_1,10,2,mix,OPTIMAL,47.6993,47.6993,0.00,2.03,29189,300,519
ht1_1-10_0.3_0.6_1,10,2,pbatch,OPTIMAL,13.2246,13.2246,0.00,0.04,1,320,519
ht1_1-10_0.3_0.6_1,10,2,mix,OPTIMAL,35.8836,35.8836,0.00,1.82,17888,300,519
ht1_1-10_0.6_0.3_3,10,2,pbatch,OPTIMAL,40.1974,40.1974,0.00,0.11,214,320,519
ht1_1-10_0.6_0.3_3,10,2,mix,OPTIMAL,90.5977,90.5977,0.00,11.49,332378,300,519
ht1_1-10_0.6_0.6_3,10,2,pbatch,OPTIMAL,42.1974,42.1974,0.00,0.14,191,320,519
ht1_1-10_0.6_0.6_3,10,2,mix,OPTIMAL,85.5977,85.5977,0.00,10.37,185506,300,519
ht1_2-15_0.3_0.3_1,15,2,pbatch,OPTIMAL,18.4691,18.4691,0.00,0.04,1,630,1079
ht1_2-15_0.3_0.3_1,15,2,mix,OPTIMAL,40.8483,40.8483,0.00,26.32,139070,600,1079
ht1_2-15_0.3_0.6_1,15,2,pbatch,OPTIMAL,14.5901,14.5901,0.00,0.10,1,630,1079
ht1_2-15_0.3_0.6_1,15,2,mix,TIME_LIMIT,43.5361,30.4691,30.01,60.05,76818,600,1079
ht1_2-15_0.6_0.3_3,15,2,pbatch,OPTIMAL,36.8477,36.8477,0.00,0.62,1,630,1079
ht1_2-15_0.6_0.3_3,15,2,mix,TIME_LIMIT,101.6284,59.1387,41.81,60.04,330677,600,1079
ht1_2-15_0.6_0.6_3,15,2,pbatch,OPTIMAL,41.8029,41.8029,0.00,0.34,603,630,1079
ht1_2-15_0.6_0.6_3,15,2,mix,TIME_LIMIT,103.1438,58.8433,42.95,60.04,414089,600,1079
