instance,n,M,mode,status,obj,bound,gap_pct,time_s,nodes,nvars,nconstr,fam,TF,RDD,solved,timeout,t,nontrivial
ht1_1-10_0.3_0.3_1,10,2,pbatch,OPTIMAL,24.2246,24.2246,0.0,0.07,23,320,519,ht1,0.3,0.3,True,False,0.07,True
ht1_1-10_0.3_0.3_1,10,2,mix,OPTIMAL,47.6993,47.6993,0.0,2.09,29189,300,519,ht1,0.3,0.3,True,False,2.09,True
ht1_1-10_0.3_0.3_1,10,3,pbatch,OPTIMAL,24.2246,24.2246,0.0,0.08,1,470,769,ht1,0.3,0.3,True,False,0.08,True
ht1_1-10_0.3_0.3_1,10,3,mix,OPTIMAL,32.2493,32.2493,0.0,3.6,33268,440,769,ht1,0.3,0.3,True,False,3.6,True
ht1_1-10_0.3_0.3_1,10,4,pbatch,OPTIMAL,24.2246,24.2246,0.0,0.12,55,620,1019,ht1,0.3,0.3,True,False,0.12,True
ht1_1-10_0.3_0.3_1,10,4,mix,OPTIMAL,24.2246,24.2246,0.0,0.17,225,580,1019,ht1,0.3,0.3,True,False,0.17,True
ht1_1-10_0.3_0.6_1,10,2,pbatch,OPTIMAL,13.2246,13.2246,0.0,0.04,1,320,519,ht1,0.3,0.6,True,False,0.04,True
ht1_1-10_0.3_0.6_1,10,2,mix,OPTIMAL,35.8836,35.8836,0.0,1.93,17888,300,519,ht1,0.3,0.6,True,False,1.93,True
ht1_1-10_0.3_0.6_1,10,3,pbatch,OPTIMAL,13.2246,13.2246,0.0,0.07,7,470,769,ht1,0.3,0.6,True,False,0.07,True
ht1_1-10_0.3_0.6_1,10,3,mix,OPTIMAL,21.2493,21.2493,0.0,3.03,28842,440,769,ht1,0.3,0.6,True,False,3.03,True
ht1_1-10_0.3_0.6_1,10,4,pbatch,OPTIMAL,13.2246,13.2246,0.0,0.1,7,620,1019,ht1,0.3,0.6,True,False,0.1,True
ht1_1-10_0.3_0.6_1,10,4,mix,OPTIMAL,13.2246,13.2246,0.0,0.22,711,580,1019,ht1,0.3,0.6,True,False,0.22,True
ht1_1-10_0.6_0.3_3,10,2,pbatch,OPTIMAL,40.1974,40.1974,0.0,0.11,214,320,519,ht1,0.6,0.3,True,False,0.11,True
ht1_1-10_0.6_0.3_3,10,2,mix,OPTIMAL,90.5977,90.5977,0.0,12.17,332378,300,519,ht1,0.6,0.3,True,False,12.17,True
ht1_1-10_0.6_0.3_3,10,3,pbatch,OPTIMAL,38.803,38.803,0.0,0.23,317,470,769,ht1,0.6,0.3,True,False,0.23,True
ht1_1-10_0.6_0.3_3,10,3,mix,OPTIMAL,68.4837,68.4837,0.0,397.27,1251849,440,769,ht1,0.6,0.3,True,False,397.27,True
ht1_1-10_0.6_0.3_3,10,4,pbatch,OPTIMAL,38.782,38.782,0.0,0.65,766,620,1019,ht1,0.6,0.3,True,False,0.65,True
ht1_1-10_0.6_0.3_3,10,4,mix,OPTIMAL,58.493,58.493,0.0,802.37,2970550,580,1019,ht1,0.6,0.3,True,False,802.37,True
ht1_1-10_0.6_0.6_3,10,2,pbatch,OPTIMAL,42.1974,42.1974,0.0,0.24,191,320,519,ht1,0.6,0.6,True,False,0.24,True
ht1_1-10_0.6_0.6_3,10,2,mix,OPTIMAL,85.5977,85.5977,0.0,39.55,185506,300,519,ht1,0.6,0.6,True,False,39.55,True
ht1_1-10_0.6_0.6_3,10,3,pbatch,OPTIMAL,40.803,40.803,0.0,0.46,634,470,769,ht1,0.6,0.6,True,False,0.46,True
ht1_1-10_0.6_0.6_3,10,3,mix,OPTIMAL,67.1485,67.1485,0.0,228.68,648991,440,769,ht1,0.6,0.6,True,False,228.68,True
ht1_1-10_0.6_0.6_3,10,4,pbatch,OPTIMAL,40.782,40.782,0.0,0.76,1307,620,1019,ht1,0.6,0.6,True,False,0.76,True
ht1_1-10_0.6_0.6_3,10,4,mix,OPTIMAL,57.3158,57.3158,0.0,501.41,1441945,580,1019,ht1,0.6,0.6,True,False,501.41,True
ht1_2-15_0.3_0.3_1,15,2,pbatch,OPTIMAL,18.4691,18.4691,0.0,0.09,1,630,1079,ht1,0.3,0.3,True,False,0.09,True
ht1_2-15_0.3_0.3_1,15,2,mix,OPTIMAL,40.8483,40.8483,0.0,88.4,139070,600,1079,ht1,0.3,0.3,True,False,88.4,True
ht1_2-15_0.3_0.3_1,15,3,pbatch,OPTIMAL,18.4691,18.4691,0.0,0.11,1,930,1604,ht1,0.3,0.3,True,False,0.11,True
ht1_2-15_0.3_0.3_1,15,3,mix,OPTIMAL,24.7395,24.7395,0.0,58.32,79182,885,1604,ht1,0.3,0.3,True,False,58.32,True
ht1_2-15_0.3_0.3_1,15,4,pbatch,OPTIMAL,18.4691,18.4691,0.0,0.26,84,1230,2129,ht1,0.3,0.3,True,False,0.26,True
ht1_2-15_0.3_0.3_1,15,4,mix,OPTIMAL,18.4691,18.4691,0.0,0.27,1,1170,2129,ht1,0.3,0.3,True,False,0.27,True
ht1_2-15_0.3_0.6_1,15,2,pbatch,OPTIMAL,14.5901,14.5901,0.0,0.16,1,630,1079,ht1,0.3,0.6,True,False,0.16,True
ht1_2-15_0.3_0.6_1,15,2,mix,OPTIMAL,43.5361,43.5361,0.0,425.39,269749,600,1079,ht1,0.3,0.6,True,False,425.39,True
ht1_2-15_0.3_0.6_1,15,3,pbatch,OPTIMAL,14.4691,14.4691,0.0,0.28,1,930,1604,ht1,0.3,0.6,True,False,0.28,True
ht1_2-15_0.3_0.6_1,15,3,mix,OPTIMAL,22.3673,22.3673,0.0,92.22,114980,885,1604,ht1,0.3,0.6,True,False,92.22,True
ht1_2-15_0.3_0.6_1,15,4,pbatch,OPTIMAL,14.4691,14.4691,0.0,0.38,1,1230,2129,ht1,0.3,0.6,True,False,0.38,True
ht1_2-15_0.3_0.6_1,15,4,mix,OPTIMAL,14.4691,14.4691,0.0,1.95,3544,1170,2129,ht1,0.3,0.6,True,False,1.95,True
ht1_2-15_0.6_0.3_3,15,2,pbatch,OPTIMAL,36.8477,36.8477,0.0,0.8,1,630,1079,ht1,0.6,0.3,True,False,0.8,True
ht1_2-15_0.6_0.3_3,15,2,mix,TIME_LIMIT,101.6284,82.4224,18.9,3600.04,8955924,600,1079,ht1,0.6,0.3,False,True,3600.0,True
ht1_2-15_0.6_0.3_3,15,3,pbatch,OPTIMAL,31.8096,31.8096,0.0,1.0,1,930,1604,ht1,0.6,0.3,True,False,1.0,True
ht1_2-15_0.6_0.3_3,15,3,mix,TIME_LIMIT,70.5465,53.8558,23.66,3600.07,6939215,885,1604,ht1,0.6,0.3,False,True,3600.0,True
