instance,n,M,mode,status,obj,bound,gap_pct,time_s,nodes,nvars,nconstr
ht1_1-10_0.3_0.3_1,10,2,pbatch,OPTIMAL,24.2246,24.2246,0.00,0.07,23,320,519
ht1_1-10_0.3_0.3_1,10,2,mix,OPTIMAL,47.6993,47.6993,0.00,2.09,29189,300,519
ht1_1-10_0.3_0.3_1,10,3,pbatch,OPTIMAL,24.2246,24.2246,0.00,0.08,1,470,769
ht1_1-10_0.3_0.3_1,10,3,mix,OPTIMAL,32.2493,32.2493,0.00,3.60,33268,440,769
ht1_1-10_0.3_0.3_1,10,4,pbatch,OPTIMAL,24.2246,24.2246,0.00,0.12,55,620,1019
ht1_1-10_0.3_0.3_1,10,4,mix,OPTIMAL,24.2246,24.2246,0.00,0.17,225,580,1019
ht1_1-10_0.3_0.6_1,10,2,pbatch,OPTIMAL,13.2246,13.2246,0.00,0.04,1,320,519
ht1_1-10_0.3_0.6_1,10,2,mix,OPTIMAL,35.8836,35.8836,0.00,1.93,17888,300,519
ht1_1-10_0.3_0.6_1,10,3,pbatch,OPTIMAL,13.2246,13.2246,0.00,0.07,7,470,769
ht1_1-10_0.3_0.6_1,10,3,mix,OPTIMAL,21.2493,21.2493,0.00,3.03,28842,440,769
ht1_1-10_0.3_0.6_1,10,4,pbatch,OPTIMAL,13.2246,13.2246,0.00,0.10,7,620,1019
ht1_1-10_0.3_0.6_1,10,4,mix,OPTIMAL,13.2246,13.2246,0.00,0.22,711,580,1019
ht1_1-10_0.6_0.3_3,10,2,pbatch,OPTIMAL,40.1974,40.1974,0.00,0.11,214,320,519
ht1_1-10_0.6_0.3_3,10,2,mix,OPTIMAL,90.5977,90.5977,0.00,12.17,332378,300,519
ht1_1-10_0.6_0.3_3,10,3,pbatch,OPTIMAL,38.8030,38.8030,0.00,0.23,317,470,769
ht1_1-10_0.6_0.3_3,10,3,mix,OPTIMAL,68.4837,68.4837,0.00,397.27,1251849,440,769
ht1_1-10_0.6_0.3_3,10,4,pbatch,OPTIMAL,38.7820,38.7820,0.00,0.65,766,620,1019
ht1_1-10_0.6_0.3_3,10,4,mix,OPTIMAL,58.4930,58.4930,0.00,802.37,2970550,580,1019
ht1_1-10_0.6_0.6_3,10,2,pbatch,OPTIMAL,42.1974,42.1974,0.00,0.24,191,320,519
ht1_1-10_0.6_0.6_3,10,2,mix,OPTIMAL,85.5977,85.5977,0.00,39.55,185506,300,519
ht1_1-10_0.6_0.6_3,10,3,pbatch,OPTIMAL,40.8030,40.8030,0.00,0.46,634,470,769
ht1_1-10_0.6_0.6_3,10,3,mix,OPTIMAL,67.1485,67.1485,0.00,228.68,648991,440,769
ht1_1-10_0.6_0.6_3,10,4,pbatch,OPTIMAL,40.7820,40.7820,0.00,0.76,1307,620,1019
ht1_1-10_0.6_0.6_3,10,4,mix,OPTIMAL,57.3158,57.3158,0.00,501.41,1441945,580,1019
ht1_2-15_0.3_0.3_1,15,2,pbatch,OPTIMAL,18.4691,18.4691,0.00,0.09,1,630,1079
ht1_2-15_0.3_0.3_1,15,2,mix,OPTIMAL,40.8483,40.8483,0.00,88.40,139070,600,1079
ht1_2-15_0.3_0.3_1,15,3,pbatch,OPTIMAL,18.4691,18.4691,0.00,0.11,1,930,1604
ht1_2-15_0.3_0.3_1,15,3,mix,OPTIMAL,24.7395,24.7395,0.00,58.32,79182,885,1604
ht1_2-15_0.3_0.3_1,15,4,pbatch,OPTIMAL,18.4691,18.4691,0.00,0.26,84,1230,2129
ht1_2-15_0.3_0.3_1,15,4,mix,OPTIMAL,18.4691,18.4691,0.00,0.27,1,1170,2129
ht1_2-15_0.3_0.6_1,15,2,pbatch,OPTIMAL,14.5901,14.5901,0.00,0.16,1,630,1079
ht1_2-15_0.3_0.6_1,15,2,mix,OPTIMAL,43.5361,43.5361,0.00,425.39,269749,600,1079
ht1_2-15_0.3_0.6_1,15,3,pbatch,OPTIMAL,14.4691,14.4691,0.00,0.28,1,930,1604
ht1_2-15_0.3_0.6_1,15,3,mix,OPTIMAL,22.3673,22.3673,0.00,92.22,114980,885,1604
ht1_2-15_0.3_0.6_1,15,4,pbatch,OPTIMAL,14.4691,14.4691,0.00,0.38,1,1230,2129
ht1_2-15_0.3_0.6_1,15,4,mix,OPTIMAL,14.4691,14.4691,0.00,1.95,3544,1170,2129
ht1_2-15_0.6_0.3_3,15,2,pbatch,OPTIMAL,36.8477,36.8477,0.00,0.80,1,630,1079
