instance,n,M,mode,status,obj,bound,gap_pct,time_s,nodes,nvars,nconstr
ht1_1-10_0.3_0.3_1,10,2,pbatch,OPTIMAL,16.2246,16.2246,0.00,0.08,1,320,519
ht1_1-10_0.3_0.3_1,10,2,mix,OPTIMAL,24.2493,24.2493,0.00,0.25,1263,300,519
ht1_1-10_0.3_0.3_1,10,3,pbatch,OPTIMAL,16.2246,16.2246,0.00,0.06,1,470,769
ht1_1-10_0.3_0.3_1,10,3,mix,OPTIMAL,16.2246,16.2246,0.00,0.07,1,440,769
ht1_1-10_0.3_0.3_1,10,4,pbatch,OPTIMAL,16.2246,16.2246,0.00,0.11,50,620,1019
ht1_1-10_0.3_0.3_1,10,4,mix,OPTIMAL,16.2246,16.2246,0.00,0.11,1,580,1019
ht1_1-10_0.3_0.6_1,10,2,pbatch,OPTIMAL,14.2246,14.2246,0.00,0.04,1,320,519
ht1_1-10_0.3_0.6_1,10,2,mix,OPTIMAL,23.0696,23.0696,0.00,0.43,4125,300,519
ht1_1-10_0.3_0.6_1,10,3,pbatch,OPTIMAL,14.2246,14.2246,0.00,0.05,1,470,769
ht1_1-10_0.3_0.6_1,10,3,mix,OPTIMAL,15.0450,15.0450,0.00,0.28,3685,440,769
ht1_1-10_0.3_0.6_1,10,4,pbatch,OPTIMAL,14.2246,14.2246,0.00,0.06,1,620,1019
ht1_1-10_0.3_0.6_1,10,4,mix,OPTIMAL,14.2246,14.2246,0.00,0.11,1,580,1019
ht1_1-10_0.6_0.3_3,10,2,pbatch,OPTIMAL,26.2246,26.2246,0.00,0.04,1,320,519
ht1_1-10_0.6_0.3_3,10,2,mix,OPTIMAL,55.6485,55.6485,0.00,2.04,20520,300,519
ht1_1-10_0.6_0.3_3,10,3,pbatch,OPTIMAL,26.2246,26.2246,0.00,0.11,49,470,769
ht1_1-10_0.6_0.3_3,10,3,mix,OPTIMAL,38.1856,38.1856,0.00,3.23,36644,440,769
ht1_1-10_0.6_0.3_3,10,4,pbatch,OPTIMAL,26.2246,26.2246,0.00,0.14,74,620,1019
ht1_1-10_0.6_0.3_3,10,4,mix,OPTIMAL,30.1609,30.1609,0.00,5.25,66379,580,1019
ht1_1-10_0.6_0.6_3,10,2,pbatch,OPTIMAL,34.4542,34.4542,0.00,0.12,107,320,519
ht1_1-10_0.6_0.6_3,10,2,mix,OPTIMAL,72.3238,72.3238,0.00,4.01,56768,300,519
ht1_1-10_0.6_0.6_3,10,3,pbatch,OPTIMAL,33.7110,33.7110,0.00,0.18,107,470,769
ht1_1-10_0.6_0.6_3,10,3,mix,OPTIMAL,50.8559,50.8559,0.00,4.73,42974,440,769
ht1_1-10_0.6_0.6_3,10,4,pbatch,OPTIMAL,33.7110,33.7110,0.00,0.19,186,620,1019
ht1_1-10_0.6_0.6_3,10,4,mix,OPTIMAL,42.8313,42.8313,0.00,12.59,102715,580,1019
ht1_2-15_0.3_0.3_1,15,2,pbatch,OPTIMAL,8.4691,8.4691,0.00,0.03,1,630,1079
ht1_2-15_0.3_0.3_1,15,2,mix,OPTIMAL,10.7120,10.7120,0.00,1.98,6410,600,1079
ht1_2-15_0.3_0.3_1,15,3,pbatch,OPTIMAL,8.4691,8.4691,0.00,0.25,1,930,1604
ht1_2-15_0.3_0.3_1,15,3,mix,OPTIMAL,8.4691,8.4691,0.00,0.28,1,885,1604
ht1_2-15_0.3_0.3_1,15,4,pbatch,OPTIMAL,8.4691,8.4691,0.00,0.08,1,1230,2129
ht1_2-15_0.3_0.3_1,15,4,mix,OPTIMAL,8.4691,8.4691,0.00,0.19,67,1170,2129
ht1_2-15_0.3_0.6_1,15,2,pbatch,OPTIMAL,0.4691,0.4691,0.00,0.05,1,630,1079
ht1_2-15_0.3_0.6_1,15,2,mix,OPTIMAL,3.9121,3.9121,0.00,4.37,7959,600,1079
ht1_2-15_0.3_0.6_1,15,3,pbatch,OPTIMAL,0.4691,0.4691,0.00,0.23,1,930,1604
ht1_2-15_0.3_0.6_1,15,3,mix,OPTIMAL,0.4691,0.4691,0.00,0.34,1,885,1604
ht1_2-15_0.3_0.6_1,15,4,pbatch,OPTIMAL,0.4691,0.4691,0.00,0.27,1,1230,2129
ht1_2-15_0.3_0.6_1,15,4,mix,OPTIMAL,0.4691,0.4691,0.00,0.20,83,1170,2129
ht1_2-15_0.6_0.3_3,15,2,pbatch,OPTIMAL,15.4691,15.4691,0.00,0.08,1,630,1079
ht1_2-15_0.6_0.3_3,15,2,mix,OPTIMAL,43.3759,43.3759,0.00,30.30,158769,600,1079
ht1_2-15_0.6_0.3_3,15,3,pbatch,OPTIMAL,15.4691,15.4691,0.00,0.06,1,930,1604
ht1_2-15_0.6_0.3_3,15,3,mix,TIME_LIMIT,24.7685,17.1740,30.66,60.03,198829,885,1604
ht1_2-15_0.6_0.3_3,15,4,pbatch,OPTIMAL,15.4691,15.4691,0.00,0.14,1,1230,2129
ht1_2-15_0.6_0.3_3,15,4,mix,OPTIMAL,15.4691,15.4691,0.00,0.96,1,1170,2129
ht1_2-15_0.6_0.6_3,15,2,pbatch,OPTIMAL,32.1592,32.1592,0.00,0.27,309,630,1079
ht1_2-15_0.6_0.6_3,15,2,mix,OPTIMAL,62.5655,62.5655,0.00,27.33,135029,600,1079
ht1_2-15_0.6_0.6_3,15,3,pbatch,OPTIMAL,27.8746,27.8746,0.00,0.30,388,930,1604
ht1_2-15_0.6_0.6_3,15,3,mix,OPTIMAL,40.5545,40.5545,0.00,7.95,29102,885,1604
ht1_2-15_0.6_0.6_3,15,4,pbatch,OPTIMAL,27.6551,27.6551,0.00,0.48,304,1230,2129
ht1_2-15_0.6_0.6_3,15,4,mix,OPTIMAL,32.0285,32.0285,0.00,3.82,7934,1170,2129
ht1_3-20_0.3_0.3_1,20,2,pbatch,OPTIMAL,14.1728,14.1728,0.00,1.41,691,1040,1839
ht1_3-20_0.3_0.3_1,20,2,mix,TIME_LIMIT,96.7823,16.1666,83.30,60.04,55424,1000,1839
ht1_3-20_0.3_0.3_1,20,3,pbatch,OPTIMAL,4.9074,4.9074,0.00,0.51,1,1540,2739
ht1_3-20_0.3_0.3_1,20,3,mix,TIME_LIMIT,35.4813,10.1666,71.35,60.10,92260,1480,2739
ht1_3-20_0.3_0.3_1,20,4,pbatch,OPTIMAL,4.9074,4.9074,0.00,0.49,1,2040,3639
ht1_3-20_0.3_0.3_1,20,4,mix,TIME_LIMIT,10.1666,4.9074,51.73,60.07,67237,1960,3639
ht1_3-20_0.3_0.6_1,20,2,pbatch,OPTIMAL,29.2592,29.2592,0.00,0.67,1166,1040,1839
ht1_3-20_0.3_0.6_1,20,2,mix,TIME_LIMIT,116.7518,31.1666,73.31,60.06,70740,1000,1839
ht1_3-20_0.3_0.6_1,20,3,pbatch,OPTIMAL,19.9938,19.9938,0.00,0.57,143,1540,2739
ht1_3-20_0.3_0.6_1,20,3,mix,TIME_LIMIT,51.4813,19.9941,61.16,60.07,53727,1480,2739
ht1_3-20_0.3_0.6_1,20,4,pbatch,OPTIMAL,19.9938,19.9938,0.00,0.71,325,2040,3639
ht1_3-20_0.3_0.6_1,20,4,mix,TIME_LIMIT,26.1666,19.9938,23.59,60.23,71830,1960,3639
ht1_3-20_0.6_0.3_3,20,2,pbatch,OPTIMAL,88.6134,88.6134,0.00,9.65,26174,1040,1839
ht1_3-20_0.6_0.3_3,20,2,mix,TIME_LIMIT,204.8262,69.9698,65.84,60.04,62044,1000,1839
ht1_3-20_0.6_0.3_3,20,3,pbatch,OPTIMAL,66.8394,66.8394,0.00,14.30,33405,1540,2739
ht1_3-20_0.6_0.3_3,20,3,mix,TIME_LIMIT,132.1957,52.7838,60.07,60.08,62198,1480,2739
ht1_3-20_0.6_0.3_3,20,4,pbatch,OPTIMAL,57.5739,57.5739,0.00,33.21,53448,2040,3639
ht1_3-20_0.6_0.3_3,20,4,mix,TIME_LIMIT,97.1009,50.7838,47.70,60.21,46354,1960,3639
ht1_3-20_0.6_0.6_3,20,2,pbatch,OPTIMAL,98.7097,98.7097,0.00,28.87,74042,1040,1839
ht1_3-20_0.6_0.6_3,20,2,mix,TIME_LIMIT,208.1230,74.1101,64.39,60.06,58371,1000,1839
ht1_3-20_0.6_0.6_3,20,3,pbatch,OPTIMAL,77.4912,77.4912,0.00,11.29,30427,1540,2739
ht1_3-20_0.6_0.6_3,20,3,mix,TIME_LIMIT,130.7506,64.4761,50.69,60.04,47665,1480,2739
ht1_3-20_0.6_0.6_3,20,4,pbatch,OPTIMAL,68.2257,68.2257,0.00,27.10,51147,2040,3639
ht1_3-20_0.6_0.6_3,20,4,mix,TIME_LIMIT,99.5791,61.9566,37.78,60.19,47105,1960,3639
ht2_2-25_0.3_0.3_1,25,2,pbatch,OPTIMAL,0.3518,0.3518,0.00,1.03,1,1550,2799
ht2_2-25_0.3_0.3_1,25,2,mix,TIME_LIMIT,179.5797,0.0000,100.00,60.07,78144,1500,2799
ht2_2-25_0.3_0.3_1,25,3,pbatch,OPTIMAL,0.0000,0.0000,0.00,0.11,1,2300,4174
ht2_2-25_0.3_0.3_1,25,3,mix,TIME_LIMIT,81.6417,0.0000,100.00,60.15,16600,2225,4174
ht2_2-25_0.3_0.3_1,25,4,pbatch,OPTIMAL,0.0000,0.0000,0.00,1.25,1,3050,5549
ht2_2-25_0.3_0.3_1,25,4,mix,TIME_LIMIT,27.1415,0.0000,100.00,60.07,28855,2950,5549
ht2_2-25_0.3_0.6_1,25,2,pbatch,OPTIMAL,7.8958,7.8958,0.00,1.01,1,1550,2799
ht2_2-25_0.3_0.6_1,25,2,mix,TIME_LIMIT,162.8636,9.9235,93.91,60.09,86762,1500,2799
ht2_2-25_0.3_0.6_1,25,3,pbatch,OPTIMAL,4.3518,4.3518,0.00,0.60,1,2300,4174
ht2_2-25_0.3_0.6_1,25,3,mix,TIME_LIMIT,73.3775,0.0000,100.00,60.27,46583,2225,4174
ht2_2-25_0.3_0.6_1,25,4,pbatch,OPTIMAL,4.3518,4.3518,0.00,0.89,1,3050,5549
ht2_2-25_0.3_0.6_1,25,4,mix,TIME_LIMIT,16.9578,4.3518,74.34,60.06,36233,2950,5549
ht2_2-25_0.6_0.3_3,25,2,pbatch,OPTIMAL,50.2051,50.2051,0.00,7.98,12091,1550,2799
ht2_2-25_0.6_0.3_3,25,2,mix,TIME_LIMIT,354.7841,33.3714,90.59,60.07,61595,1500,2799
ht2_2-25_0.6_0.3_3,25,3,pbatch,OPTIMAL,30.2829,30.2829,0.00,7.86,7614,2300,4174
ht2_2-25_0.6_0.3_3,25,3,mix,TIME_LIMIT,219.2124,0.8543,99.61,60.26,47393,2225,4174
ht2_2-25_0.6_0.3_3,25,4,pbatch,OPTIMAL,27.3608,27.3608,0.00,7.54,9490,3050,5549
ht2_2-25_0.6_0.3_3,25,4,mix,TIME_LIMIT,159.5269,0.0000,100.00,60.15,36223,2950,5549
ht2_2-25_0.6_0.6_3,25,2,pbatch,OPTIMAL,70.1662,70.1662,0.00,24.34,39574,1550,2799
ht2_2-25_0.6_0.6_3,25,2,mix,TIME_LIMIT,335.3063,49.4027,85.27,60.22,47131,1500,2799
ht2_2-25_0.6_0.6_3,25,3,pbatch,OPTIMAL,50.2440,50.2440,0.00,11.04,17853,2300,4174
ht2_2-25_0.6_0.6_3,25,3,mix,TIME_LIMIT,203.5799,4.8480,97.62,60.14,47374,2225,4174
ht2_2-25_0.6_0.6_3,25,4,pbatch,OPTIMAL,43.9904,43.9904,0.00,12.05,4094,3050,5549
ht2_2-25_0.6_0.6_3,25,4,mix,TIME_LIMIT,147.2030,0.0000,100.00,60.04,36844,2950,5549
ht2_1-30_0.3_0.3_1,30,2,pbatch,OPTIMAL,0.0000,0.0000,0.00,0.07,0,2160,3959
ht2_1-30_0.3_0.3_1,30,2,mix,TIME_LIMIT,111.0540,0.0000,100.00,60.31,45078,2100,3959
ht2_1-30_0.3_0.3_1,30,3,pbatch,OPTIMAL,0.0000,0.0000,0.00,0.06,0,3210,5909
ht2_1-30_0.3_0.3_1,30,3,mix,TIME_LIMIT,38.1105,0.0000,100.00,60.05,30730,3120,5909
ht2_1-30_0.3_0.3_1,30,4,pbatch,OPTIMAL,0.0000,0.0000,0.00,0.07,0,4260,7859
ht2_1-30_0.3_0.3_1,30,4,mix,TIME_LIMIT,9.5014,0.0000,100.00,60.08,17681,4140,7859
ht2_1-30_0.3_0.6_1,30,2,pbatch,OPTIMAL,0.0000,0.0000,0.00,0.09,1,2160,3959
ht2_1-30_0.3_0.6_1,30,2,mix,TIME_LIMIT,101.2775,0.0000,100.00,60.13,56252,2100,3959
ht2_1-30_0.3_0.6_1,30,3,pbatch,OPTIMAL,0.0000,0.0000,0.00,0.08,1,3210,5909
ht2_1-30_0.3_0.6_1,30,3,mix,TIME_LIMIT,26.2357,0.0000,100.00,60.12,26985,3120,5909
ht2_1-30_0.3_0.6_1,30,4,pbatch,OPTIMAL,0.0000,0.0000,0.00,0.23,1,4260,7859
ht2_1-30_0.3_0.6_1,30,4,mix,OPTIMAL,0.0000,0.0000,0.00,27.42,6555,4140,7859
ht2_1-30_0.6_0.3_3,30,2,pbatch,OPTIMAL,12.8413,12.8413,0.00,2.62,361,2160,3959
ht2_1-30_0.6_0.3_3,30,2,mix,TIME_LIMIT,233.4603,4.3560,98.13,60.27,48051,2100,3959
ht2_1-30_0.6_0.3_3,30,3,pbatch,OPTIMAL,8.0835,8.0835,0.00,1.65,1,3210,5909
