instance,n,M,obj,proven,lb,gap_pct,time_s,nodes,oracle,heavy
ht1_1-10_0.3_0.3_1,10,2,1.13427,1,1.13427,0,0.0102941,310,213,1
ht1_1-10_0.3_0.3_1,10,3,0,1,0,0,0.0009695,1,41,1
ht1_1-10_0.3_0.3_1,10,4,0,1,0,0,0.0007403,1,51,1
ht1_1-10_0.3_0.6_1,10,2,0,1,0,0,0.0024089,1,28,1
ht1_1-10_0.3_0.6_1,10,3,0,1,0,0,0.0007218,1,42,1
ht1_1-10_0.3_0.6_1,10,4,0,1,0,0,0.0007449,1,53,1
ht1_1-10_0.6_0.3_3,10,2,20.7292,1,20.7292,0,0.0273811,732,498,1
ht1_1-10_0.6_0.3_3,10,3,10.0992,1,10.0992,0,0.0228472,1741,440,1
ht1_1-10_0.6_0.3_3,10,4,2.07454,1,2.07454,0,0.0034499,137,111,1
ht1_1-10_0.6_0.6_3,10,2,19.5566,1,19.5566,0,0.0275801,695,448,1
ht1_1-10_0.6_0.6_3,10,3,7.55662,1,7.55662,0,0.0145806,919,257,1
ht1_1-10_0.6_0.6_3,10,4,1.87737,1,1.87737,0,0.0022562,100,92,1
ht1_2-15_0.3_0.3_1,15,2,0,1,0,0,0.0484576,1,38,1
ht1_2-15_0.3_0.3_1,15,3,0,1,0,0,0.0027228,1,57,1
ht1_2-15_0.3_0.3_1,15,4,0,1,0,0,0.0011787,1,76,1
ht1_2-15_0.3_0.6_1,15,2,0,1,0,0,0.0181925,1,36,1
ht1_2-15_0.3_0.6_1,15,3,0,1,0,0,0.0034422,1,57,1
ht1_2-15_0.3_0.6_1,15,4,0,1,0,0,0.0012104,1,76,1
ht1_2-15_0.6_0.3_3,15,2,23.9789,1,23.9789,0,4.59687,19801,9156,1
ht1_2-15_0.6_0.3_3,15,3,10.8008,1,10.8008,0,3.45521,31684,3809,1
ht1_2-15_0.6_0.3_3,15,4,4.06912,1,4.06912,0,0.0285529,811,279,1
ht1_2-15_0.6_0.6_3,15,2,24.9048,1,24.9048,0,7.70614,19868,10142,1
ht1_2-15_0.6_0.6_3,15,3,11.4249,1,11.4249,0,1.6739,19518,3123,1
ht1_2-15_0.6_0.6_3,15,4,7.06912,1,7.06912,0,0.0046761,1,101,1
ht1_3-20_0.3_0.3_1,20,2,0,1,0,0,1.20885,1,48,1
ht1_3-20_0.3_0.3_1,20,3,0,1,0,0,0.012232,1,72,1
ht1_3-20_0.3_0.3_1,20,4,0,1,0,0,0.002434,1,96,1
ht1_3-20_0.3_0.6_1,20,2,0,1,0,0,0.508096,1,48,1
ht1_3-20_0.3_0.6_1,20,3,0,1,0,0,0.0083899,1,72,1
ht1_3-20_0.3_0.6_1,20,4,0,1,0,0,0.0046125,1,96,1
ht1_3-20_0.6_0.3_3,20,2,72.4583,0,25.4441,64.8845,600.017,82307,20916,1
ht1_3-20_0.6_0.3_3,20,3,21.0241,0,20.7312,1.39326,600.009,253325,32500,1
ht1_3-20_0.6_0.3_3,20,4,8.3456,1,8.3456,0,160.924,217434,11633,1
ht1_3-20_0.6_0.6_3,20,2,89.6166,0,15.3424,82.8799,600.008,37248,17460,1
ht1_3-20_0.6_0.6_3,20,3,28.8327,1,28.8327,0,170.566,162923,29869,1
ht1_3-20_0.6_0.6_3,20,4,16.3144,1,16.3144,0,293.35,207684,19905,1
ht2_1-30_0.3_0.3_1,30,2,115.244,0,0,100,606.091,0,8,1
ht2_1-30_0.3_0.3_1,30,3,0,1,0,0,0.859533,1,102,1
ht2_1-30_0.3_0.3_1,30,4,0,1,0,0,0.0148479,1,136,1
ht2_1-30_0.3_0.6_1,30,2,1.63232,0,0,100,601.362,0,112,1
ht2_1-30_0.3_0.6_1,30,3,0,1,0,0,0.195572,1,102,1
ht2_1-30_0.3_0.6_1,30,4,0,1,0,0,0.025176,1,136,1
ht2_1-30_0.6_0.3_3,30,2,100.671,0,0,100,606.062,0,8,1
ht2_1-30_0.6_0.3_3,30,3,33.3616,0,0,100,600.088,1494,586,1
ht2_1-30_0.6_0.3_3,30,4,0,1,0,0,1.29372,5325,1082,1
ht2_1-30_0.6_0.6_3,30,2,116.891,0,0.3364,99.7122,607.7,0,68,1
ht2_1-30_0.6_0.6_3,30,3,35.3875,0,0.3364,99.0494,600.65,26014,4584,1
ht2_1-30_0.6_0.6_3,30,4,0.3364,1,0.3364,0,1.65598,1,391,1
ht2_1-50_0.3_0.3_1,50,2,362.42,0,0,100,605.879,0,8,1
ht2_1-50_0.3_0.3_1,50,3,0,0,0,0,606.396,0,162,1
ht2_1-50_0.3_0.3_1,50,4,0,1,0,0,0.108799,1,216,1
ht2_1-50_0.3_0.6_1,50,2,491.481,0,0,100,605.887,0,8,1
ht2_1-50_0.3_0.6_1,50,3,0,0,0,0,605.929,0,162,1
ht2_1-50_0.3_0.6_1,50,4,0,1,0,0,0.529633,1,216,1
ht2_1-50_0.6_0.3_3,50,2,1170.02,0,0,100,605.984,0,8,1
ht2_1-50_0.6_0.3_3,50,3,287.353,0,0,100,605.698,0,12,1
ht2_1-50_0.6_0.3_3,50,4,2.40261,0,0,100,601.907,0,362,1
ht2_1-50_0.6_0.6_3,50,2,412.155,0,0,100,605.421,0,8,1
ht2_1-50_0.6_0.6_3,50,3,117.917,0,0,100,605.29,0,12,1
ht2_1-50_0.6_0.6_3,50,4,3.9925,0,0,100,600.003,53404,9959,1
ht2_2-25_0.3_0.3_1,25,2,0,1,0,0,35.7903,1,58,1
ht2_2-25_0.3_0.3_1,25,3,0,1,0,0,0.0135973,1,87,1
ht2_2-25_0.3_0.3_1,25,4,0,1,0,0,0.0018309,1,116,1
ht2_2-25_0.3_0.6_1,25,2,0,1,0,0,1.12612,1,58,1
ht2_2-25_0.3_0.6_1,25,3,0,1,0,0,0.0227545,1,87,1
ht2_2-25_0.3_0.6_1,25,4,0,1,0,0,0.0080923,1,116,1
ht2_2-25_0.6_0.3_3,25,2,100.683,0,9.1562,90.9059,600.076,202295,1569,1
ht2_2-25_0.6_0.3_3,25,3,23.6469,0,0,100,600.01,249834,23451,1
ht2_2-25_0.6_0.3_3,25,4,0,1,0,0,11.6987,4188,1174,1
ht2_2-25_0.6_0.6_3,25,2,92.6655,0,0.68512,99.2607,600.003,4900,2729,1
ht2_2-25_0.6_0.6_3,25,3,20.7738,0,0.68512,96.702,600.026,106075,15855,1
ht2_2-25_0.6_0.6_3,25,4,3.82294,0,0.68512,82.0787,600.006,124462,38073,1
