instance,n,M,obj,proven,lb,gap_pct,time_s,nodes,oracle,heavy
ht1_1-10_0.3_0.3_1,10,2,24.2493,1,24.2493,0,0.0081164,255,126,1
ht1_1-10_0.3_0.3_1,10,3,16.2246,1,16.2246,0,0.0053614,1,33,1
ht1_1-10_0.3_0.3_1,10,4,16.2246,1,16.2246,0,0.0007654,1,47,1
ht1_1-10_0.3_0.6_1,10,2,23.0696,1,23.0696,0,0.0077461,203,102,1
ht1_1-10_0.3_0.6_1,10,3,15.045,1,15.045,0,0.0063325,9,37,1
ht1_1-10_0.3_0.6_1,10,4,14.2246,1,14.2246,0,0.0008701,1,50,1
ht1_1-10_0.6_0.3_3,10,2,55.6485,1,55.6485,0,0.0177903,757,470,1
ht1_1-10_0.6_0.3_3,10,3,38.1856,1,38.1856,0,0.0102695,916,296,1
ht1_1-10_0.6_0.3_3,10,4,30.1609,1,30.1609,0,0.0024971,130,126,1
ht1_1-10_0.6_0.6_3,10,2,72.3238,1,72.3238,0,0.0282801,852,616,1
ht1_1-10_0.6_0.6_3,10,3,50.8559,1,50.8559,0,0.0140015,1437,270,1
ht1_1-10_0.6_0.6_3,10,4,42.8313,1,42.8313,0,0.012156,1664,209,1
ht1_2-15_0.3_0.3_1,15,2,10.712,1,10.712,0,2.87931,15,37,1
ht1_2-15_0.3_0.3_1,15,3,8.46912,1,8.46912,0,0.00395,1,54,1
ht1_2-15_0.3_0.3_1,15,4,8.46912,1,8.46912,0,0.0017411,1,72,1
ht1_2-15_0.3_0.6_1,15,2,3.91209,1,3.91209,0,2.75351,560,250,1
ht1_2-15_0.3_0.6_1,15,3,0.46912,1,0.46912,0,0.0335887,1,55,1
ht1_2-15_0.3_0.6_1,15,4,0.46912,1,0.46912,0,0.001414,1,74,1
ht1_2-15_0.6_0.3_3,15,2,43.3759,1,43.3759,0,2.77561,18562,8730,1
ht1_2-15_0.6_0.3_3,15,3,24.7685,1,24.7685,0,1.2001,15935,2614,1
ht1_2-15_0.6_0.3_3,15,4,15.4691,1,15.4691,0,0.0527106,3510,583,1
ht1_2-15_0.6_0.6_3,15,2,62.5655,1,62.5655,0,5.26663,16691,9392,1
ht1_2-15_0.6_0.6_3,15,3,40.5545,1,40.5545,0,0.324169,8875,1791,1
ht1_2-15_0.6_0.6_3,15,4,32.0285,1,32.0285,0,0.329222,13405,854,1
ht1_3-20_0.3_0.3_1,20,2,96.7823,1,96.7823,0,3100.47,272197,98448,1
ht1_3-20_0.3_0.3_1,20,3,35.4813,1,35.4813,0,360.598,303482,9131,1
ht1_3-20_0.3_0.3_1,20,4,10.1666,1,10.1666,0,22.9425,48440,757,1
ht1_3-20_0.3_0.6_1,20,2,112.696,1,112.696,0,2872.35,345780,161239,1
ht1_3-20_0.3_0.6_1,20,3,51.4813,1,51.4813,0,174.729,126639,28036,1
ht1_3-20_0.3_0.6_1,20,4,26.1666,1,26.1666,0,1.25839,19624,2843,1
ht1_3-20_0.6_0.3_3,20,2,204.826,0,191.578,6.46801,3600.02,423644,127579,1
ht1_3-20_0.6_0.3_3,20,3,134.577,0,125.79,6.52974,3600.05,613047,38688,1
