instance,n,M,obj,proven,lb,gap_pct,time_s,nodes,oracle,heavy
ht1_1-10_0.3_0.3_1,10,2,47.6993,1,47.6993,0,0.0198328,754,531,1
ht1_1-10_0.3_0.3_1,10,3,32.2493,1,32.2493,0,0.004562,405,151,1
ht1_1-10_0.3_0.3_1,10,4,24.2246,1,24.2246,0,0.0008644,1,49,1
ht1_1-10_0.3_0.6_1,10,2,35.8836,1,35.8836,0,0.0134932,593,315,1
ht1_1-10_0.3_0.6_1,10,3,21.2493,1,21.2493,0,0.0099663,355,161,1
ht1_1-10_0.3_0.6_1,10,4,13.2246,1,13.2246,0,0.0015073,1,54,1
ht1_1-10_0.6_0.3_3,10,2,90.5977,1,90.5977,0,0.0386121,943,790,1
ht1_1-10_0.6_0.3_3,10,3,68.4837,1,68.4837,0,0.0556082,5190,590,1
ht1_1-10_0.6_0.3_3,10,4,58.493,1,58.493,0,0.0706617,5361,442,1
ht1_1-10_0.6_0.6_3,10,2,85.5977,1,85.5977,0,0.0299014,950,715,1
ht1_1-10_0.6_0.6_3,10,3,67.1485,1,67.1485,0,0.0437699,3890,573,1
ht1_1-10_0.6_0.6_3,10,4,57.3158,1,57.3158,0,0.0342044,3986,368,1
ht1_2-15_0.3_0.3_1,15,2,40.8483,1,40.8483,0,1.56053,14136,4604,1
ht1_2-15_0.3_0.3_1,15,3,24.7395,1,24.7395,0,0.493149,7477,1950,1
ht1_2-15_0.3_0.3_1,15,4,18.4691,1,18.4691,0,0.0064248,308,125,1
ht1_2-15_0.3_0.6_1,15,2,43.5361,1,43.5361,0,2.31595,14597,6620,1
ht1_2-15_0.3_0.6_1,15,3,22.3673,1,22.3673,0,1.00233,14926,1984,1
ht1_2-15_0.3_0.6_1,15,4,14.4691,1,14.4691,0,0.0879616,2566,773,1
ht1_2-15_0.6_0.3_3,15,2,101.628,1,101.628,0,5.56405,26602,10878,1
ht1_2-15_0.6_0.3_3,15,3,70.5465,1,70.5465,0,29.6325,149386,5657,1
ht1_2-15_0.6_0.3_3,15,4,54.7841,1,54.7841,0,21.0716,185468,2995,1
ht1_2-15_0.6_0.6_3,15,2,103.144,1,103.144,0,7.38129,27647,13832,1
ht1_2-15_0.6_0.6_3,15,3,71.4839,1,71.4839,0,12.337,81601,5357,1
ht1_2-15_0.6_0.6_3,15,4,57.0565,1,57.0565,0,35.5305,195962,3525,1
ht1_3-20_0.3_0.3_1,20,2,106.052,0,15.9074,85.0005,61.0892,0,48,1
ht1_3-20_0.3_0.3_1,20,3,54.0182,0,15.9074,70.5519,60.7595,0,57,1
ht1_3-20_0.3_0.3_1,20,4,21.1666,1,21.1666,0,2.03818,23330,2400,1
ht1_3-20_0.3_0.6_1,20,2,92.1779,0,0,100,61.2171,0,48,1
ht1_3-20_0.3_0.6_1,20,3,25.0736,0,6.3888,74.5198,60.0064,36279,5139,1
ht1_3-20_0.3_0.6_1,20,4,0.1728,1,0.1728,0,0.431714,2518,496,1
ht1_3-20_0.6_0.3_3,20,2,229.361,0,100.913,56.0025,60.0045,29572,5110,1
ht1_3-20_0.6_0.3_3,20,3,148.621,0,60.1666,59.5169,60.0011,105783,17618,1
ht1_3-20_0.6_0.3_3,20,4,106.304,0,58.9938,44.5049,60.0005,208963,6360,1
ht1_3-20_0.6_0.6_3,20,2,245.08,0,84.7648,65.4134,60.007,14117,4573,1
ht1_3-20_0.6_0.6_3,20,3,167.688,0,74.2758,55.706,60.0012,119465,18288,1
ht1_3-20_0.6_0.6_3,20,4,132.023,0,73.2943,44.4838,60.0006,196780,7645,1
ht2_1-30_0.3_0.3_1,30,2,2.71004,0,0,100,61.2434,0,8,1
ht2_1-30_0.3_0.3_1,30,3,0,1,0,0,0.0531875,1,102,1
ht2_1-30_0.3_0.3_1,30,4,0,1,0,0,0.0040002,1,136,1
ht2_1-30_0.3_0.6_1,30,2,0,0,0,0,60.5037,0,68,1
ht2_1-30_0.3_0.6_1,30,3,0,1,0,0,0.0581687,1,102,1
ht2_1-30_0.3_0.6_1,30,4,0,1,0,0,0.0146616,1,136,1
ht2_1-30_0.6_0.3_3,30,2,72.7857,0,0,100,61.512,0,8,1
ht2_1-30_0.6_0.3_3,30,3,17.5083,0,0,100,60.4949,0,310,1
ht2_1-30_0.6_0.3_3,30,4,0,1,0,0,0.28874,1,136,1
ht2_1-30_0.6_0.6_3,30,2,77.7032,0,0,100,60.3289,0,68,1
ht2_1-30_0.6_0.6_3,30,3,11.6882,0,0,100,60.1861,26932,7652,1
ht2_1-30_0.6_0.6_3,30,4,0.85232,0,0,100,60.0004,121586,19879,1
ht2_1-50_0.3_0.3_1,50,2,285.901,0,0,100,62.6151,0,8,1
ht2_1-50_0.3_0.3_1,50,3,0,1,0,0,43.8883,1,162,1
ht2_1-50_0.3_0.3_1,50,4,0,1,0,0,0.0311446,1,216,1
ht2_1-50_0.3_0.6_1,50,2,362.514,0,0,100,62.1799,0,8,1
ht2_1-50_0.3_0.6_1,50,3,0,1,0,0,4.2791,1,162,1
ht2_1-50_0.3_0.6_1,50,4,0,1,0,0,0.246056,1,216,1
ht2_1-50_0.6_0.3_3,50,2,932.927,0,0,100,61.5696,0,8,1
ht2_1-50_0.6_0.3_3,50,3,469.611,0,0,100,62.7984,0,12,1
ht2_1-50_0.6_0.3_3,50,4,0,0,0,0,60.5591,0,216,1
ht2_1-50_0.6_0.6_3,50,2,801.328,0,0,100,61.0041,0,8,1
ht2_1-50_0.6_0.6_3,50,3,36.3608,0,0,100,60.2669,0,12,1
ht2_1-50_0.6_0.6_3,50,4,0,1,0,0,27.014,1,456,1
ht2_2-25_0.3_0.3_1,25,2,101.868,0,0,100,60.0768,0,150,1
ht2_2-25_0.3_0.3_1,25,3,12.2667,0,0,100,60.0003,104161,13897,1
ht2_2-25_0.3_0.3_1,25,4,0,1,0,0,0.0408283,1,116,1
ht2_2-25_0.3_0.6_1,25,2,108.176,0,1.35184,98.7503,60.4693,0,60,1
ht2_2-25_0.3_0.6_1,25,3,20.1574,0,1.35184,93.2936,60.0088,59646,10911,1
ht2_2-25_0.3_0.6_1,25,4,3.15944,0,1.35184,57.2127,60.0407,26051,3867,1
ht2_2-25_0.6_0.3_3,25,2,285.52,0,7.55167,97.3551,60.2477,0,124,1
